year,month,domestic,international
2002,10,1015,463
2002,11,1020,390
2002,12,1028,375
2003,1,959,356
2003,2,817,257
2003,3,984,310
2003,4,878,185
2003,5,845,262
2003,6,840,397
2003,7,884,412
2003,8,869,430
2003,9,859,450
2003,10,923,399
2003,11,895,357
2003,12,878,356
2004,1,895,349
2004,2,901,331
2004,3,960,377
2004,4,1099,454
2004,5,1174,469
2004,6,1202,514
2004,7,1243,532
2004,8,1247,534
2004,9,1077,517
2004,10,1252,487
2004,11,1232,414
2004,12,1243,470
2005,1,1214,454
2005,2,1140,399
2005,3,1261,496
2005,4,1204,514
2005,5,1278,591
2005,6,1291,574
2005,7,1370,595
2005,8,1371,593
2005,9,1186,566
2005,10,1220,554
2005,11,1310,462
2005,12,1117,453
2006,1,1062,432
2006,2,920,392
2006,3,1125,502
2006,4,1114,491
2006,5,1015,598
2006,6,1082,660
2006,7,1122,698
2006,8,1138,723
2006,9,981,700
2006,10,1028,689
2006,11,1004,599
2006,12,1083,668
2007,1,1123,663
2007,2,1006,574
2007,3,1199,709
2007,4,1186,760
2007,5,1216,808
2007,6,1260,918
2007,7,1356,959
2007,8,1375,947
2007,9,1319,854
2007,10,1347,775
2007,11,1352,727
2007,12,1359,792
2008,1,1279,773
2008,2,1220,728
2008,3,1371,861
2008,4,1340,940
2008,5,1423,1003
2008,6,1437,1108
2008,7,1477,1235
2008,8,1438,1212
2008,9,1321,981
2008,10,1367,926
2008,11,1314,790
2008,12,1338,883
2009,1,1402,805
2009,2,1337,695
2009,3,1536,812
2009,4,1543,805
2009,5,1595,854
2009,6,1703,1017
2009,7,1714,1211
2009,8,1715,1193
2009,9,1457,1039
2009,10,1397,927
2009,11,1377,783
2009,12,1405,860
2010,1,1630,813
2010,2,1436,692
2010,3,1675,822
2010,4,1575,806
2010,5,1662,996
2010,6,1604,1198
2010,7,1668,1277
2010,8,1634,1268
2010,9,1512,1054
2010,10,1583,1028
2010,11,1501,869
2010,12,1497,886
2011,1,1531,884
2011,2,1430,803
2011,3,1730,920
2011,4,1641,955
2011,5,1645,984
2011,6,1661,1165
2011,7,1740,1221
2011,8,1577,1133
2011,9,1501,907
2011,10,1517,884
2011,11,1466,715
2011,12,1453,767
2012,1,1423,731
2012,2,1372,667
2012,3,1610,830
2012,4,1551,887
2012,5,1611,950
2012,6,1890,1140
2012,7,2025,1212
2012,8,2026,1181
2012,9,1834,940
2012,10,1752,811
2012,11,1743,742
2012,12,1682,807
2013,1,1527,813
2013,2,1352,714
2013,3,1715,853
2013,4,1705,900
2013,5,1749,992
2013,6,1826,1213
2013,7,1928,1374
2013,8,1938,1358
2013,9,1776,1044
2013,10,1832,988
2013,11,1631,854
2013,12,1687,943
2014,1,1555,917
2014,2,1423,823
2014,3,1838,971
2014,4,1858,995
2014,5,1967,1145
2014,6,1989,1382
2014,7,2097,1477
2014,8,2095,1511
2014,9,1994,1164
2014,10,2149,1098
2014,11,2026,969
2014,12,2063,1081
2015,1,2001,1028
2015,2,1858,886
2015,3,2283,1043
2015,4,2336,1076
2015,5,2435,1197
2015,6,2490,1384
2015,7,2573,1544
2015,8,2634,1555
2015,9,2105,1151
2015,10,2330,1048
2015,11,2187,914
2015,12,2273,1069
2016,1,2223,1034
2016,2,2242,965
2016,3,2666,1072
2016,4,2535,1152
2016,5,2575,1291
2016,6,2669,1466
2016,7,2809,1601
2016,8,2783,1572
2016,9,2402,1234
2016,10,2369,1129
2016,11,2365,926
2016,12,2464,1114
2017,1,2389,1090
2017,2,2207,921
2017,3,2578,1095
2017,4,2485,1190
2017,5,2671,1336
2017,6,2604,1483
2017,7,2631,1544
2017,8,2640,1535
2017,9,2194,1188
2017,10,2388,1148
2017,11,2200,943
2017,12,2357,1125
2018,1,2167,1064
2018,2,2053,950
2018,3,2464,1052
2018,4,2534,1112
2018,5,2624,1278
2018,6,2660,1404
2018,7,2711,1470
2018,8,2684,1454
2018,9,2269,1226
2018,10,2604,1158
2018,11,2488,951
2018,12,2589,1107
2019,1,2546,1128
2019,2,2261,1005
2019,3,2808,1152
2019,4,2726,1217
2019,5,2793,1371
2019,6,2827,1519
2019,7,2884,1604
2019,8,2924,1597
2019,9,2554,1319
2019,10,2774,1244
2019,11,2629,1012
2019,12,2791,1148
2020,1,2930,1238
2020,2,2767,1097
2020,3,2433,737
2020,4,301,10
2020,5,187,0
2020,6,500,49
2020,7,931,183
2020,8,1362,
2020,9,1102,
2020,10,1226,
